number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
77,35.92914199996551,2026-04-29 12:32:40.973775,2026-04-29 12:32:49.070513,0 days 00:00:08.096738,0.8599022692916047,0.004843327583693983,9,29,1000,COMPLETE
78,35.919192653444775,2026-04-29 12:32:49.070513,2026-04-29 12:32:56.593013,0 days 00:00:07.522500,0.9013278028282555,0.007224112104857296,10,37,1000,COMPLETE
79,36.36873353622192,2026-04-29 12:32:56.608518,2026-04-29 12:33:04.468395,0 days 00:00:07.859877,0.9703081434485881,0.0031465202822655108,9,46,900,COMPLETE
80,36.038808325422316,2026-04-29 12:33:04.468395,2026-04-29 12:33:11.093109,0 days 00:00:06.624714,0.9376446101732888,0.010258082283922564,10,33,900,COMPLETE
81,35.76881490780973,2026-04-29 12:33:11.103118,2026-04-29 12:33:16.582750,0 days 00:00:05.479632,0.8761585177335144,0.006320212561236761,9,41,800,COMPLETE
82,35.923791173767256,2026-04-29 12:33:16.582750,2026-04-29 12:33:22.914791,0 days 00:00:06.332041,0.8355400905119654,0.0054478081464755385,10,44,700,COMPLETE
83,35.983046010711874,2026-04-29 12:33:22.914791,2026-04-29 12:33:28.329263,0 days 00:00:05.414472,0.8785064029804327,0.008326582240652426,9,37,900,COMPLETE
84,35.99728615801861,2026-04-29 12:33:28.329263,2026-04-29 12:33:33.962456,0 days 00:00:05.633193,0.9162941655755467,0.006824165596010035,10,59,800,COMPLETE
85,36.30101611670561,2026-04-29 12:33:33.962456,2026-04-29 12:33:38.011812,0 days 00:00:04.049356,0.8979187501915349,0.012444447447202316,9,53,800,COMPLETE
86,35.83758915055796,2026-04-29 12:33:38.011812,2026-04-29 12:33:46.274976,0 days 00:00:08.263164,0.8570218977051308,0.004666063794565504,10,40,900,COMPLETE
87,36.215989001002065,2026-04-29 12:33:46.274976,2026-04-29 12:33:54.767953,0 days 00:00:08.492977,0.8587045239928863,0.0037994159639228435,10,42,800,COMPLETE
88,45.51599165456385,2026-04-29 12:33:54.767953,2026-04-29 12:34:00.335080,0 days 00:00:05.567127,0.7865890490650331,0.28324433106354246,10,22,900,COMPLETE
89,38.202984582131265,2026-04-29 12:34:00.335080,2026-04-29 12:34:02.380816,0 days 00:00:02.045736,0.8398122272533568,0.0025583579326937233,4,39,900,COMPLETE
90,36.514472037435965,2026-04-29 12:34:02.380816,2026-04-29 12:34:06.945080,0 days 00:00:04.564264,0.8059510038870384,0.004518081035897904,10,97,700,COMPLETE
91,35.800455178472006,2026-04-29 12:34:06.945080,2026-04-29 12:34:14.687945,0 days 00:00:07.742865,0.8730096574815395,0.005312654242665898,10,46,1000,COMPLETE
92,35.90346057599284,2026-04-29 12:34:14.687945,2026-04-29 12:34:21.529601,0 days 00:00:06.841656,0.8536689598952918,0.0049477386005198545,10,50,800,COMPLETE
93,35.73542985729855,2026-04-29 12:34:21.530213,2026-04-29 12:34:29.092254,0 days 00:00:07.562041,0.892895414821972,0.00640090182654511,10,36,900,COMPLETE
94,35.808683689163196,2026-04-29 12:34:29.092254,2026-04-29 12:34:36.832142,0 days 00:00:07.739888,0.8937200423988411,0.0068117796991097644,10,36,1000,COMPLETE
95,36.075247154663394,2026-04-29 12:34:36.846146,2026-04-29 12:34:44.795037,0 days 00:00:07.948891,0.9513591606153639,0.008953972607182283,10,28,1000,COMPLETE
96,36.04489706463225,2026-04-29 12:34:44.795037,2026-04-29 12:34:52.959877,0 days 00:00:08.164840,0.9276941465575334,0.007891167097276473,10,31,1000,COMPLETE
97,35.696999220867426,2026-04-29 12:34:52.959877,2026-04-29 12:35:01.416969,0 days 00:00:08.457092,0.88933304609702,0.0058784355635211364,10,35,1000,COMPLETE
98,35.74880967015689,2026-04-29 12:35:01.416969,2026-04-29 12:35:08.317401,0 days 00:00:06.900432,0.8907401740712468,0.00564859763765321,9,36,1000,COMPLETE
99,35.97643499596917,2026-04-29 12:35:08.317401,2026-04-29 12:35:16.987935,0 days 00:00:08.670534,0.8874198478581178,0.0035077748768361327,9,35,1000,COMPLETE
100,36.30316239657193,2026-04-29 12:35:16.987935,2026-04-29 12:35:26.168773,0 days 00:00:09.180838,0.873330901525176,0.002978610559620087,9,33,1000,COMPLETE
101,35.858818194747926,2026-04-29 12:35:26.168773,2026-04-29 12:35:33.650858,0 days 00:00:07.482085,0.8910943769980483,0.00757546708102034,10,36,1000,COMPLETE
102,35.91064465304547,2026-04-29 12:35:33.650858,2026-04-29 12:35:42.821682,0 days 00:00:09.170824,0.8313543967294198,0.005385711424222557,10,31,1000,COMPLETE
103,35.978635098325995,2026-04-29 12:35:42.821682,2026-04-29 12:35:48.968755,0 days 00:00:06.147073,0.8143898530022645,0.010059135237239376,10,41,1000,COMPLETE
104,36.275181445960925,2026-04-29 12:35:48.968755,2026-04-29 12:36:00.794098,0 days 00:00:11.825343,0.8441466125503726,0.004140535284112926,10,24,1000,COMPLETE
105,35.9260072254882,2026-04-29 12:36:00.794098,2026-04-29 12:36:07.181531,0 days 00:00:06.387433,0.9115094849015178,0.005828343141585977,9,39,900,COMPLETE
106,40.439433846384,2026-04-29 12:36:07.181531,2026-04-29 12:36:08.117198,0 days 00:00:00.935667,0.8942661243112335,0.006843783992961085,6,44,200,COMPLETE
107,35.689601485363994,2026-04-29 12:36:08.117198,2026-04-29 12:36:17.059087,0 days 00:00:08.941889,0.8756319069450578,0.005323083461759993,10,35,1000,COMPLETE
108,35.75195510632768,2026-04-29 12:36:17.059087,2026-04-29 12:36:25.376731,0 days 00:00:08.317644,0.8669124593269419,0.0051018160892128015,10,42,1000,COMPLETE
109,37.93859191877198,2026-04-29 12:36:25.376731,2026-04-29 12:36:27.740335,0 days 00:00:02.363604,0.8673049111706445,0.06338902007581833,5,48,1000,COMPLETE
110,35.773589670608885,2026-04-29 12:36:27.740335,2026-04-29 12:36:36.163315,0 days 00:00:08.422980,0.8775106213396615,0.004927267384088393,10,42,1000,COMPLETE
111,35.79383867912035,2026-04-29 12:36:36.163315,2026-04-29 12:36:45.274191,0 days 00:00:09.110876,0.8806809239572151,0.004369220709979511,10,41,1000,COMPLETE
112,37.361009809830456,2026-04-29 12:36:45.274191,2026-04-29 12:36:46.969579,0 days 00:00:01.695388,0.8791936296363294,0.003922344804438795,3,42,1000,COMPLETE
113,36.20562609914981,2026-04-29 12:36:46.969579,2026-04-29 12:36:57.142734,0 days 00:00:10.173155,0.850152355562593,0.003310914726614707,10,39,1000,COMPLETE
114,35.77287799817624,2026-04-29 12:36:57.142734,2026-04-29 12:37:06.913456,0 days 00:00:09.770722,0.9060054705341856,0.004454004816306851,10,34,1000,COMPLETE
115,35.77456885443523,2026-04-29 12:37:06.913456,2026-04-29 12:37:14.878736,0 days 00:00:07.965280,0.9093730681894221,0.006161593785395503,10,33,900,COMPLETE
116,35.92795878469799,2026-04-29 12:37:14.878736,2026-04-29 12:37:23.327305,0 days 00:00:08.448569,0.9090002985917224,0.006101632949276328,10,30,900,COMPLETE
117,36.10543857915999,2026-04-29 12:37:23.327305,2026-04-29 12:37:29.735581,0 days 00:00:06.408276,0.9301669078220116,0.008677184540448434,9,32,1000,COMPLETE
118,36.12925182770879,2026-04-29 12:37:29.735581,2026-04-29 12:37:39.298641,0 days 00:00:09.563060,0.9487551217553029,0.006084373404584405,10,27,1000,COMPLETE
119,35.79327917168375,2026-04-29 12:37:39.298641,2026-04-29 12:37:47.863329,0 days 00:00:08.564688,0.9035862439300543,0.005116038305542467,10,34,900,COMPLETE
120,36.19368910576405,2026-04-29 12:37:47.863329,2026-04-29 12:37:52.491009,0 days 00:00:04.627680,0.9185280469925459,0.0074036288479858246,10,35,400,COMPLETE
121,35.816767424210184,2026-04-29 12:37:52.491009,2026-04-29 12:38:00.629449,0 days 00:00:08.138440,0.8580978824963611,0.004563368380559375,10,43,900,COMPLETE
122,42.42645482239507,2026-04-29 12:38:00.629449,2026-04-29 12:38:05.594526,0 days 00:00:04.965077,0.8645395229724177,0.2233910670929822,10,37,900,COMPLETE
123,35.90688841423987,2026-04-29 12:38:05.594526,2026-04-29 12:38:13.815930,0 days 00:00:08.221404,0.8863745095794483,0.005001313062967169,10,39,900,COMPLETE
124,35.90686184067839,2026-04-29 12:38:13.815930,2026-04-29 12:38:24.452222,0 days 00:00:10.636292,0.9377353364375125,0.003917765728558098,10,33,1000,COMPLETE
125,35.91129125552642,2026-04-29 12:38:24.452222,2026-04-29 12:38:32.740663,0 days 00:00:08.288441,0.9055043404601811,0.006577879677734754,10,29,900,COMPLETE
126,36.01219963614852,2026-04-29 12:38:32.740663,2026-04-29 12:38:38.598224,0 days 00:00:05.857561,0.8425013523453968,0.008079922181914893,9,38,1000,COMPLETE
127,35.752389477682875,2026-04-29 12:38:38.598224,2026-04-29 12:38:46.713828,0 days 00:00:08.115604,0.877115221161243,0.005921493002190804,10,41,1000,COMPLETE
128,36.08198083464892,2026-04-29 12:38:46.713828,2026-04-29 12:38:52.999767,0 days 00:00:06.285939,0.8808702699012954,0.005997922727119722,10,73,1000,COMPLETE
129,36.1426060365366,2026-04-29 12:38:52.999767,2026-04-29 12:38:59.219082,0 days 00:00:06.219315,0.8950668711952279,0.010971364340430997,10,41,1000,COMPLETE
130,35.99061459740946,2026-04-29 12:38:59.219082,2026-04-29 12:39:04.684113,0 days 00:00:05.465031,0.8724656878515177,0.009157672928911157,9,44,1000,COMPLETE
131,35.782058922077496,2026-04-29 12:39:04.684113,2026-04-29 12:39:13.874486,0 days 00:00:09.190373,0.8672256762893876,0.004575624438626629,10,35,900,COMPLETE
132,35.71611447068429,2026-04-29 12:39:13.874486,2026-04-29 12:39:22.269114,0 days 00:00:08.394628,0.8855341580228769,0.005713762980885327,10,35,1000,COMPLETE
133,35.960525581170465,2026-04-29 12:39:22.269114,2026-04-29 12:39:31.363226,0 days 00:00:09.094112,0.9172814445211549,0.005433121298237143,10,31,1000,COMPLETE
134,35.91621577119605,2026-04-29 12:39:31.363226,2026-04-29 12:39:38.621093,0 days 00:00:07.257867,0.8895819437069408,0.007484934276938144,10,38,1000,COMPLETE
135,35.82449388026541,2026-04-29 12:39:38.621093,2026-04-29 12:39:46.984793,0 days 00:00:08.363700,0.9039497353656368,0.0059570797310817295,10,33,1000,COMPLETE
136,35.847470880730924,2026-04-29 12:39:46.984793,2026-04-29 12:39:54.506619,0 days 00:00:07.521826,0.8832282593896336,0.006928781927493743,10,36,1000,COMPLETE
137,35.70763955534174,2026-04-29 12:39:54.506619,2026-04-29 12:40:02.700474,0 days 00:00:08.193855,0.8504569732476217,0.0051898070437675385,10,40,1000,COMPLETE
138,35.97231105063291,2026-04-29 12:40:02.700474,2026-04-29 12:40:08.797232,0 days 00:00:06.096758,0.8325037663734103,0.003746774083911268,8,41,1000,COMPLETE
139,38.6931196707926,2026-04-29 12:40:08.797232,2026-04-29 12:40:40.836839,0 days 00:00:32.039607,0.8651656287181879,0.004346101169000468,10,1,1000,COMPLETE
140,35.84381719994554,2026-04-29 12:40:40.836839,2026-04-29 12:40:48.432301,0 days 00:00:07.595462,0.8477129534210318,0.005420995137518362,10,47,1000,COMPLETE
141,35.879438545080475,2026-04-29 12:40:48.435306,2026-04-29 12:40:56.677183,0 days 00:00:08.241877,0.7481376835902197,0.004984705094935068,10,39,1000,COMPLETE
142,35.79056138981065,2026-04-29 12:40:56.677183,2026-04-29 12:41:03.842424,0 days 00:00:07.165241,0.8768954936949895,0.006715863414350538,10,44,1000,COMPLETE
143,35.69509375782631,2026-04-29 12:41:03.842424,2026-04-29 12:41:11.608384,0 days 00:00:07.765960,0.8943193022865373,0.006069042956296385,10,35,900,COMPLETE
144,36.013407578715615,2026-04-29 12:41:11.608384,2026-04-29 12:41:18.568412,0 days 00:00:06.960028,0.8547878038302853,0.00819561897538295,10,37,1000,COMPLETE
145,35.74651213644789,2026-04-29 12:41:18.568412,2026-04-29 12:41:26.121491,0 days 00:00:07.553079,0.8913424256852348,0.005607021716760805,10,41,900,COMPLETE
146,35.73273618733451,2026-04-29 12:41:26.121491,2026-04-29 12:41:32.627865,0 days 00:00:06.506374,0.8961912799481639,0.005675150165792876,9,35,900,COMPLETE
147,35.889476154711,2026-04-29 12:41:32.627865,2026-04-29 12:41:37.682657,0 days 00:00:05.054792,0.8960842761049777,0.00984859792367237,9,40,900,COMPLETE
148,35.86590496388658,2026-04-29 12:41:37.682657,2026-04-29 12:41:42.793810,0 days 00:00:05.111153,0.8890286552687263,0.007340558316523561,9,45,800,COMPLETE
149,35.771538516092576,2026-04-29 12:41:42.793810,2026-04-29 12:41:49.221800,0 days 00:00:06.427990,0.8645909119958715,0.005650230872087024,9,36,900,COMPLETE
150,35.97752638483511,2026-04-29 12:41:49.221800,2026-04-29 12:41:54.241675,0 days 00:00:05.019875,0.92715450829969,0.006801306907319255,8,38,900,COMPLETE
151,35.7313838623023,2026-04-29 12:41:54.241675,2026-04-29 12:42:00.636643,0 days 00:00:06.394968,0.8666934989584868,0.005725027472660104,9,36,900,COMPLETE
152,35.756551386215136,2026-04-29 12:42:00.636643,2026-04-29 12:42:06.682104,0 days 00:00:06.045461,0.8739558704792777,0.006067430662978956,9,40,900,COMPLETE
153,35.745420146558416,2026-04-29 12:42:06.682104,2026-04-29 12:42:13.360728,0 days 00:00:06.678624,0.85135153000134,0.005381279952893573,9,35,900,COMPLETE
154,35.8944277477727,2026-04-29 12:42:13.360728,2026-04-29 12:42:20.372626,0 days 00:00:07.011898,0.8397351589203346,0.00546348469673675,9,30,900,COMPLETE
155,35.89937312548731,2026-04-29 12:42:20.372626,2026-04-29 12:42:27.704925,0 days 00:00:07.332299,0.8179195132398935,0.004207441905095186,9,35,900,COMPLETE
156,36.12726460967165,2026-04-29 12:42:27.709931,2026-04-29 12:42:32.785645,0 days 00:00:05.075714,0.895976252305398,0.008025670584274284,8,27,900,COMPLETE
157,35.91998499942754,2026-04-29 12:42:32.785645,2026-04-29 12:42:41.459916,0 days 00:00:08.674271,0.8452568768024818,0.005211261171104621,10,32,900,COMPLETE
