number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
100,35.919805624065745,2026-05-05 13:45:04.652098,2026-05-05 13:45:07.611084,0 days 00:00:02.958986,57.02310439769173,0.7742022773114036,0.013960794071052605,9,49,692,83,COMPLETE
101,35.601785964374415,2026-05-05 13:45:07.611084,2026-05-05 13:45:10.645547,0 days 00:00:03.034463,54.079120586197355,0.748602554360745,0.011086829183295841,9,57,638,86,COMPLETE
102,35.58826828213749,2026-05-05 13:45:10.645547,2026-05-05 13:45:13.659213,0 days 00:00:03.013666,53.83865429275054,0.7860009057927555,0.0116046244750302,9,56,638,86,COMPLETE
103,35.620638286022995,2026-05-05 13:45:13.659213,2026-05-05 13:45:16.576703,0 days 00:00:02.917490,53.561554379158515,0.7872404194607275,0.01221788512105034,9,56,636,86,COMPLETE
104,35.99209180764279,2026-05-05 13:45:16.578209,2026-05-05 13:45:18.896959,0 days 00:00:02.318750,51.05699262582238,0.7892053505726538,0.02053582121955815,9,46,546,91,COMPLETE
105,35.66392665694567,2026-05-05 13:45:18.896959,2026-05-05 13:45:22.033552,0 days 00:00:03.136593,53.237249883791335,0.7524222858986417,0.0122029536649458,10,55,624,87,COMPLETE
106,35.64040323460274,2026-05-05 13:45:22.033552,2026-05-05 13:45:24.248662,0 days 00:00:02.215110,61.56031558289088,0.7254534042602617,0.015274491624292542,9,56,442,94,COMPLETE
107,35.60381049223363,2026-05-05 13:45:24.248662,2026-05-05 13:45:27.172040,0 days 00:00:02.923378,54.4429172836498,0.7833270003922866,0.009785196488163348,9,53,523,81,COMPLETE
108,35.98226461090731,2026-05-05 13:45:27.172040,2026-05-05 13:45:29.324637,0 days 00:00:02.152597,54.93431295184915,0.7710460802653442,0.024032975804197845,10,53,509,80,COMPLETE
109,35.707263801471406,2026-05-05 13:45:29.324637,2026-05-05 13:45:31.930328,0 days 00:00:02.605691,63.72959171893505,0.8093634563700913,0.009826233126655053,9,38,372,82,COMPLETE
110,35.90889329175321,2026-05-05 13:45:31.931370,2026-05-05 13:45:34.858942,0 days 00:00:02.927572,60.76061861960751,0.709405569371836,0.016238982176393635,9,46,722,90,COMPLETE
