number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
77,30.0922891000345,2026-03-15 11:50:22.079108,2026-03-15 11:50:23.529342,0 days 00:00:01.450234,0.6009728843549944,0.09258820021513064,3,900,45,COMPLETE
78,32.314419369295386,2026-03-15 11:50:23.529342,2026-03-15 11:50:26.855953,0 days 00:00:03.326611,0.6160541039294879,0.00671282667786417,5,1000,48,COMPLETE
79,29.88580382654777,2026-03-15 11:50:26.857962,2026-03-15 11:50:29.104596,0 days 00:00:02.246634,0.5591740177047734,0.1442317599595879,4,1000,42,COMPLETE
80,29.62128438188618,2026-03-15 11:50:29.106605,2026-03-15 11:50:31.916207,0 days 00:00:02.809602,0.6347069784664067,0.06829357913637168,5,900,52,COMPLETE
81,29.414410870010073,2026-03-15 11:50:31.916207,2026-03-15 11:50:35.718050,0 days 00:00:03.801843,0.5804219082392976,0.08768027359009081,6,1000,44,COMPLETE
82,30.11587090247548,2026-03-15 11:50:35.718050,2026-03-15 11:50:39.404703,0 days 00:00:03.686653,0.593575950141756,0.11975515735125636,6,1000,39,COMPLETE
83,29.68669426271638,2026-03-15 11:50:39.404703,2026-03-15 11:50:43.235231,0 days 00:00:03.830528,0.6508573473489563,0.09508608198774077,6,1000,44,COMPLETE
84,29.729707925476255,2026-03-15 11:50:43.235231,2026-03-15 11:50:46.018265,0 days 00:00:02.783034,0.5650006074262746,0.08000967643608188,5,900,42,COMPLETE
85,30.001277406888647,2026-03-15 11:50:46.020272,2026-03-15 11:50:49.704654,0 days 00:00:03.684382,0.5777662289460318,0.1621266054777537,6,1000,46,COMPLETE
86,30.214717666047115,2026-03-15 11:50:49.704654,2026-03-15 11:50:53.041278,0 days 00:00:03.336624,0.6080783810307112,0.05516313444928232,5,900,36,COMPLETE
87,29.860079563231146,2026-03-15 11:50:53.042279,2026-03-15 11:50:56.654118,0 days 00:00:03.611839,0.8189077101654234,0.06689314301848918,6,900,40,COMPLETE
88,30.756610649303763,2026-03-15 11:50:56.656123,2026-03-15 11:50:57.406029,0 days 00:00:00.749906,0.6858585524735188,0.12151534267640694,4,300,49,COMPLETE
89,29.822315980638443,2026-03-15 11:50:57.406029,2026-03-15 11:51:02.786759,0 days 00:00:05.380730,0.6235759955302024,0.10059491222774525,10,1000,44,COMPLETE
90,29.94242108141581,2026-03-15 11:51:02.786759,2026-03-15 11:51:06.574021,0 days 00:00:03.787262,0.5378239461700629,0.0802770175646218,6,1000,53,COMPLETE
91,29.645329264546966,2026-03-15 11:51:06.574021,2026-03-15 11:51:10.357124,0 days 00:00:03.783103,0.590451980334437,0.07381108033979408,6,1000,43,COMPLETE
92,29.46362365929745,2026-03-15 11:51:10.357124,2026-03-15 11:51:14.142938,0 days 00:00:03.785814,0.5779932223371661,0.08580155254968533,6,1000,47,COMPLETE
93,29.873990949303703,2026-03-15 11:51:14.142938,2026-03-15 11:51:17.096023,0 days 00:00:02.953085,0.5747090725004912,0.13535882488830442,5,1000,47,COMPLETE
94,29.52889163552722,2026-03-15 11:51:17.097024,2026-03-15 11:51:20.482981,0 days 00:00:03.385957,0.617169702691025,0.09103111396797733,6,900,45,COMPLETE
95,29.740542893351016,2026-03-15 11:51:20.482981,2026-03-15 11:51:23.993650,0 days 00:00:03.510669,0.636453189175434,0.08857683992796457,6,900,47,COMPLETE
96,30.03845431790355,2026-03-15 11:51:23.993650,2026-03-15 11:51:27.822588,0 days 00:00:03.828938,0.6028829759075257,0.050107030378822116,6,1000,45,COMPLETE
97,30.26981871048349,2026-03-15 11:51:27.822588,2026-03-15 11:51:30.580619,0 days 00:00:02.758031,0.6149406085241029,0.041451499865344056,5,900,40,COMPLETE
98,29.521211356550793,2026-03-15 11:51:30.581618,2026-03-15 11:51:34.478446,0 days 00:00:03.896828,0.6680592810500418,0.061575352240734654,6,1000,42,COMPLETE
99,29.41031446572269,2026-03-15 11:51:34.478446,2026-03-15 11:51:38.479296,0 days 00:00:04.000850,0.6993992505567396,0.10107332045147406,6,1000,38,COMPLETE
100,29.258421419074683,2026-03-15 11:51:38.479296,2026-03-15 11:51:42.371768,0 days 00:00:03.892472,0.6939475580859729,0.06623740161980152,6,1000,38,COMPLETE
101,29.405584481748143,2026-03-15 11:51:42.373776,2026-03-15 11:51:46.286536,0 days 00:00:03.912760,0.7024601941385549,0.0594475695123971,6,1000,38,COMPLETE
102,29.85502493590834,2026-03-15 11:51:46.286536,2026-03-15 11:51:50.137736,0 days 00:00:03.851200,0.7296179187039158,0.0711395428734136,6,1000,35,COMPLETE
103,29.72423341950403,2026-03-15 11:51:50.138765,2026-03-15 11:51:54.036830,0 days 00:00:03.898065,0.7248310070391194,0.11061590276356777,6,1000,38,COMPLETE
104,29.490159538398053,2026-03-15 11:51:54.037830,2026-03-15 11:51:57.932587,0 days 00:00:03.894757,0.7456305465246096,0.09744138238368413,6,1000,38,COMPLETE
105,29.7190941478298,2026-03-15 11:51:57.932587,2026-03-15 11:52:01.738955,0 days 00:00:03.806368,0.7002981688456387,0.054626515195944775,6,1000,32,COMPLETE
106,31.08251884771183,2026-03-15 11:52:01.738955,2026-03-15 11:52:06.069977,0 days 00:00:04.331022,0.6811274376658033,0.01344676800581387,6,1000,34,COMPLETE
107,29.894691582038888,2026-03-15 11:52:06.069977,2026-03-15 11:52:08.947450,0 days 00:00:02.877473,0.7217150948812796,0.06481733317942594,5,900,36,COMPLETE
108,30.02400893606237,2026-03-15 11:52:08.947450,2026-03-15 11:52:12.863444,0 days 00:00:03.915994,0.7022004260940338,0.1279964526770699,6,1000,40,COMPLETE
109,29.99040319855153,2026-03-15 11:52:12.863444,2026-03-15 11:52:17.173099,0 days 00:00:04.309655,0.6928403028685434,0.16466893759025808,7,1000,41,COMPLETE
110,30.058635827482057,2026-03-15 11:52:17.175111,2026-03-15 11:52:19.965830,0 days 00:00:02.790719,0.6622607932954309,0.045445940701332455,5,900,36,COMPLETE
111,29.53553723455778,2026-03-15 11:52:19.965830,2026-03-15 11:52:23.833746,0 days 00:00:03.867916,0.7476718260584864,0.10050485243819245,6,1000,38,COMPLETE
112,29.56204821277756,2026-03-15 11:52:23.833746,2026-03-15 11:52:27.732461,0 days 00:00:03.898715,0.7435402537927274,0.10342442306866931,6,1000,38,COMPLETE
113,29.418281532016557,2026-03-15 11:52:27.733461,2026-03-15 11:52:31.582372,0 days 00:00:03.848911,0.6745515221598326,0.08621117911657844,6,1000,43,COMPLETE
114,29.558049950407074,2026-03-15 11:52:31.583371,2026-03-15 11:52:35.434678,0 days 00:00:03.851307,0.6742094557316844,0.07955257954348019,6,1000,42,COMPLETE
115,29.613051682276524,2026-03-15 11:52:35.434678,2026-03-15 11:52:39.491911,0 days 00:00:04.057233,0.7081124230282853,0.08627764690557874,7,900,43,COMPLETE
116,30.066065754100897,2026-03-15 11:52:39.491911,2026-03-15 11:52:42.508082,0 days 00:00:03.016171,0.6451602139181409,0.2010787424573804,5,1000,40,COMPLETE
117,29.620336675592434,2026-03-15 11:52:42.508082,2026-03-15 11:52:46.467805,0 days 00:00:03.959723,0.7575816067229664,0.07089917522831078,6,1000,50,COMPLETE
118,29.645214353882913,2026-03-15 11:52:46.467805,2026-03-15 11:52:49.246383,0 days 00:00:02.778578,0.6615631121185304,0.11554764178142056,5,900,48,COMPLETE
119,29.711415450527216,2026-03-15 11:52:49.246383,2026-03-15 11:52:53.112929,0 days 00:00:03.866546,0.6918617041376036,0.14300589851320175,6,1000,46,COMPLETE
120,30.262439260624944,2026-03-15 11:52:53.112929,2026-03-15 11:52:54.315436,0 days 00:00:01.202507,0.6511566525701534,0.05957290079678649,6,300,37,COMPLETE
