number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
128,36.020972328168746,2026-05-05 17:45:47.097924,2026-05-05 17:45:52.503335,0 days 00:00:05.405411,0.8702512683921569,0.00889593010246927,8,61,600,COMPLETE
129,35.8793185310571,2026-05-05 17:45:52.503335,2026-05-05 17:45:58.379804,0 days 00:00:05.876469,0.9037996590523265,0.010174272647082016,8,52,700,COMPLETE
130,36.10640979802903,2026-05-05 17:45:58.379804,2026-05-05 17:46:05.770078,0 days 00:00:07.390274,0.9238688726539737,0.005341183048936184,8,45,600,COMPLETE
131,35.86416048467864,2026-05-05 17:46:05.770078,2026-05-05 17:46:11.339079,0 days 00:00:05.569001,0.8475705824711235,0.008507452793524956,8,39,500,COMPLETE
132,35.68303439347851,2026-05-05 17:46:11.339079,2026-05-05 17:46:16.873541,0 days 00:00:05.534462,0.8792303270561257,0.010750982212909627,8,42,600,COMPLETE
133,35.70513569177312,2026-05-05 17:46:16.873541,2026-05-05 17:46:22.950894,0 days 00:00:06.077353,0.8812714481659089,0.010255072475376567,8,43,700,COMPLETE
134,35.65629067530104,2026-05-05 17:46:22.950894,2026-05-05 17:46:28.786138,0 days 00:00:05.835244,0.8816622283396609,0.01084797699083584,8,42,600,COMPLETE
135,35.68025163275687,2026-05-05 17:46:28.786138,2026-05-05 17:46:34.334904,0 days 00:00:05.548766,0.8845621501657177,0.011082743782135892,8,42,600,COMPLETE
136,35.63247071584839,2026-05-05 17:46:34.335908,2026-05-05 17:46:42.330251,0 days 00:00:07.994343,0.8818566517188849,0.007998299020722646,9,43,600,COMPLETE
137,35.63236750350212,2026-05-05 17:46:42.330251,2026-05-05 17:46:52.068038,0 days 00:00:09.737787,0.8774629792445171,0.007099358798458955,9,36,700,COMPLETE
138,35.68166079674155,2026-05-05 17:46:52.068038,2026-05-05 17:47:02.176414,0 days 00:00:10.108376,0.8819369894909179,0.006745718489639712,9,35,700,COMPLETE
139,35.66483478181476,2026-05-05 17:47:02.177419,2026-05-05 17:47:12.336266,0 days 00:00:10.158847,0.8851069062805643,0.006744935797113459,9,36,700,COMPLETE
140,36.348930241497314,2026-05-05 17:47:12.336266,2026-05-05 17:47:26.974773,0 days 00:00:14.638507,0.9157639937386179,0.003976223257789306,9,36,700,COMPLETE
141,35.74056506818888,2026-05-05 17:47:26.974773,2026-05-05 17:47:37.547571,0 days 00:00:10.572798,0.8821968160208383,0.006789876281084691,9,34,700,COMPLETE
142,36.21767350348323,2026-05-05 17:47:37.547571,2026-05-05 17:47:50.723167,0 days 00:00:13.175596,0.8802098077270737,0.004928796299147492,9,32,800,COMPLETE
143,35.670205815387945,2026-05-05 17:47:50.724168,2026-05-05 17:48:03.239962,0 days 00:00:12.515794,0.8646055633767383,0.006326586114466544,10,36,700,COMPLETE
144,35.76976582311582,2026-05-05 17:48:03.239962,2026-05-05 17:48:15.775560,0 days 00:00:12.535598,0.866467466296322,0.006208150532237661,10,37,700,COMPLETE
145,36.742861528663596,2026-05-05 17:48:15.776603,2026-05-05 17:48:32.853849,0 days 00:00:17.077246,0.8910767745228055,0.004509779270013857,10,27,700,COMPLETE
146,35.64560774546364,2026-05-05 17:48:32.854851,2026-05-05 17:48:42.596160,0 days 00:00:09.741309,0.8547896206264133,0.007730247030473182,9,35,800,COMPLETE
147,35.747523310831205,2026-05-05 17:48:42.597160,2026-05-05 17:48:55.071682,0 days 00:00:12.474522,0.8598227063898196,0.007298229406570677,10,39,800,COMPLETE
148,36.0160884919591,2026-05-05 17:48:55.072718,2026-05-05 17:49:08.277559,0 days 00:00:13.204841,0.9082949525284107,0.005806417277443096,9,31,900,COMPLETE
149,35.64754604856624,2026-05-05 17:49:08.277559,2026-05-05 17:49:18.470230,0 days 00:00:10.192671,0.8675442257833934,0.0073191153035447876,9,34,800,COMPLETE
150,35.7134130085884,2026-05-05 17:49:18.470230,2026-05-05 17:49:28.570373,0 days 00:00:10.100143,0.8686161743722517,0.007946448524432735,9,34,800,COMPLETE
151,35.616136942188014,2026-05-05 17:49:28.570373,2026-05-05 17:49:39.666032,0 days 00:00:11.095659,0.8519800247354361,0.006563286526032005,9,36,900,COMPLETE
