number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
79,35.63533384448861,2026-04-29 11:46:40.192205,2026-04-29 11:46:41.745363,0 days 00:00:01.553158,59.45645550009132,0.9866239190119652,0.008982872927564542,5,37,751,66,COMPLETE
80,35.59901626639709,2026-04-29 11:46:41.745363,2026-04-29 11:46:44.165446,0 days 00:00:02.420083,54.81758286925327,0.954596882269546,0.007759241371272033,6,34,878,73,COMPLETE
81,35.48471644255132,2026-04-29 11:46:44.165446,2026-04-29 11:46:46.367140,0 days 00:00:02.201694,49.297926394549755,0.9688450272640405,0.012277551993733284,7,32,675,60,COMPLETE
82,35.53811507412337,2026-04-29 11:46:46.367140,2026-04-29 11:46:48.458739,0 days 00:00:02.091599,48.87061142725712,0.9661635285882708,0.012728129201223933,7,42,711,60,COMPLETE
83,35.5604110880303,2026-04-29 11:46:48.458739,2026-04-29 11:46:50.580164,0 days 00:00:02.121425,59.299411831877755,0.9822200149283574,0.012568057800066838,7,41,703,61,COMPLETE
84,35.61001010843654,2026-04-29 11:46:50.580164,2026-04-29 11:46:52.905003,0 days 00:00:02.324839,49.741664369273344,0.9798887728431945,0.010317085924314696,7,41,708,61,COMPLETE
85,35.53171485115974,2026-04-29 11:46:52.905003,2026-04-29 11:46:54.868407,0 days 00:00:01.963404,59.40469765687641,0.9945503428119067,0.012240916275188876,7,42,595,65,COMPLETE
86,35.74028356394845,2026-04-29 11:46:54.868407,2026-04-29 11:46:57.098237,0 days 00:00:02.229830,39.66135169860093,0.9602448593938052,0.012274335369139225,7,49,629,77,COMPLETE
87,37.00911405856171,2026-04-29 11:46:57.098237,2026-04-29 11:46:59.659183,0 days 00:00:02.560946,48.99506759512651,0.9690725701513989,0.006435889146220925,7,43,582,66,COMPLETE
88,35.684338408974796,2026-04-29 11:46:59.659183,2026-04-29 11:47:01.829630,0 days 00:00:02.170447,52.08625041370906,0.9999791050942364,0.012142106561277977,7,47,673,68,COMPLETE
89,53.603203525381296,2026-04-29 11:47:01.829630,2026-04-29 11:47:05.193595,0 days 00:00:03.363965,3.890081219157448,0.9351321129029838,0.012750294115698968,8,30,599,71,COMPLETE
90,36.75368743765326,2026-04-29 11:47:05.193595,2026-04-29 11:47:07.916404,0 days 00:00:02.722809,57.04079076446057,0.9501012926757132,0.005609808674555434,7,43,639,58,COMPLETE
91,35.608998340633605,2026-04-29 11:47:07.916404,2026-04-29 11:47:10.660676,0 days 00:00:02.744272,59.62373545386529,0.9883370573440313,0.007551055931789774,7,35,717,62,COMPLETE
92,35.61720691447162,2026-04-29 11:47:10.660676,2026-04-29 11:47:12.949140,0 days 00:00:02.288464,47.260641717547585,0.984738894284391,0.010483442451685296,7,41,686,56,COMPLETE
93,37.019584064423476,2026-04-29 11:47:12.949140,2026-04-29 11:47:16.377518,0 days 00:00:03.428378,55.8109086450098,0.9706940297201617,0.004674796836685165,7,32,741,64,COMPLETE
94,35.972608950666576,2026-04-29 11:47:16.377518,2026-04-29 11:47:19.293099,0 days 00:00:02.915581,40.990564174040074,0.935211986506238,0.00831438354131029,7,28,765,65,COMPLETE
95,35.57334026871423,2026-04-29 11:47:19.293099,2026-04-29 11:47:21.714910,0 days 00:00:02.421811,59.975203250343405,0.9584765095501204,0.009488664717229272,8,36,558,60,COMPLETE
96,35.79653066720257,2026-04-29 11:47:21.714910,2026-04-29 11:47:23.785816,0 days 00:00:02.070906,50.3763311534527,0.9977873962236363,0.02048707218715029,7,25,712,69,COMPLETE
97,35.61184290419314,2026-04-29 11:47:23.785816,2026-04-29 11:47:25.652322,0 days 00:00:01.866506,45.53631461920975,0.945151710386238,0.013214349796838804,7,40,506,82,COMPLETE
98,35.71344990493941,2026-04-29 11:47:25.652322,2026-04-29 11:47:27.179592,0 days 00:00:01.527270,51.00347937446802,0.9763167348840742,0.016100526286541114,6,45,665,54,COMPLETE
99,35.61024011490288,2026-04-29 11:47:27.179592,2026-04-29 11:47:28.823930,0 days 00:00:01.644338,55.089225088083545,0.9197498502826251,0.018897608900079788,7,34,605,61,COMPLETE
100,36.24171476335029,2026-04-29 11:47:28.823930,2026-04-29 11:47:30.909111,0 days 00:00:02.085181,47.721717046222075,0.9627082717421377,0.010959346133676131,8,37,421,72,COMPLETE
101,35.53466936812572,2026-04-29 11:47:30.909111,2026-04-29 11:47:32.626089,0 days 00:00:01.716978,55.202882608960394,0.9285113868699015,0.014055908869752264,6,38,766,58,COMPLETE
102,35.5989235013476,2026-04-29 11:47:32.626089,2026-04-29 11:47:34.657431,0 days 00:00:02.031342,56.6406471114539,0.9293941052724689,0.008659088360002575,6,32,742,58,COMPLETE
103,35.635200728442534,2026-04-29 11:47:34.657431,2026-04-29 11:47:36.233168,0 days 00:00:01.575737,52.2502036481095,0.9822505547972441,0.014660711517863344,6,42,645,62,COMPLETE
104,35.465046442432694,2026-04-29 11:47:36.233168,2026-04-29 11:47:38.375810,0 days 00:00:02.142642,40.42193568410477,0.9482498322992975,0.012615641181005123,7,38,694,59,COMPLETE
105,35.73492739421372,2026-04-29 11:47:38.375810,2026-04-29 11:47:39.888586,0 days 00:00:01.512776,40.32784744151468,0.9458420231621661,0.01944656413600928,6,52,691,55,COMPLETE
