number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_units_0,params_units_1,params_units_2,state
88,26.209452834540762,2026-03-14 01:45:37.312152,2026-03-14 01:48:45.495398,0 days 00:03:08.183246,32,64,0.2665768953363098,,,0.0020248395572838606,1,256,,,COMPLETE
89,24.858763095098016,2026-03-14 01:48:45.496396,2026-03-14 01:53:37.857494,0 days 00:04:52.361098,16,96,0.1897983695978051,,,0.0011295031787651108,1,224,,,COMPLETE
90,25.551404314623273,2026-03-14 01:53:37.857494,2026-03-14 01:56:12.341630,0 days 00:02:34.484136,64,32,0.3613100945318694,,,0.001444707728279642,1,224,,,COMPLETE
91,24.457376520455497,2026-03-14 01:56:12.352534,2026-03-14 02:00:26.783669,0 days 00:04:14.431135,16,128,0.11001280794077459,,,0.0008789029150573347,1,192,,,COMPLETE
92,25.005494391609982,2026-03-14 02:00:26.783669,2026-03-14 02:04:31.829850,0 days 00:04:05.046181,16,112,0.13114378889900474,,,0.0007494775184125845,1,192,,,COMPLETE
93,23.947945314618476,2026-03-14 02:04:31.830841,2026-03-14 02:09:31.455674,0 days 00:04:59.624833,16,128,0.1251812627562895,,,0.0005915912723016097,1,224,,,COMPLETE
94,24.05415324233895,2026-03-14 02:09:31.455674,2026-03-14 02:15:34.211803,0 days 00:06:02.756129,16,112,0.20557175753185247,,,0.00042319676332732873,1,224,,,COMPLETE
95,23.21557436781271,2026-03-14 02:15:34.211803,2026-03-14 02:21:32.017086,0 days 00:05:57.805283,16,112,0.15819940727573514,,,0.0004423719347325425,1,224,,,COMPLETE
96,24.343858358642983,2026-03-14 02:21:32.017086,2026-03-14 02:28:15.623027,0 days 00:06:43.605941,16,112,0.1395369926738304,,,0.0004138697456512983,1,256,,,COMPLETE
97,25.22725008480483,2026-03-14 02:28:15.623027,2026-03-14 02:32:43.737711,0 days 00:04:28.114684,16,112,0.1285131749629048,,,0.0003589771968613842,1,224,,,COMPLETE
98,23.52547603731481,2026-03-14 02:32:43.737711,2026-03-14 02:37:46.196071,0 days 00:05:02.458360,16,96,0.15817370730172317,,,0.00045130600028118735,1,224,,,COMPLETE
99,26.388406999222752,2026-03-14 02:37:46.196071,2026-03-14 02:46:02.057841,0 days 00:08:15.861770,16,96,0.1547593725635133,0.22150222332422298,,0.000442726628205959,2,224,64.0,,COMPLETE
