number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,state
154,29.32392068209119,2026-03-15 12:15:13.648514,2026-03-15 12:15:18.346867,0 days 00:00:04.698353,0.9367367590656703,0.11696814510388114,4,1000,COMPLETE
155,29.40677708328488,2026-03-15 12:15:18.346867,2026-03-15 12:15:21.584952,0 days 00:00:03.238085,0.604741057613426,0.14447502167448661,4,800,COMPLETE
156,28.775810192318524,2026-03-15 12:15:21.586956,2026-03-15 12:15:25.637532,0 days 00:00:04.050576,0.9768476522440382,0.11098584198073333,4,900,COMPLETE
157,29.640243103017234,2026-03-15 12:15:25.639036,2026-03-15 12:15:28.954867,0 days 00:00:03.315831,0.953395858827519,0.1069102244190404,3,1000,COMPLETE
158,28.90025756951848,2026-03-15 12:15:28.954867,2026-03-15 12:15:32.575636,0 days 00:00:03.620769,0.9773685443422057,0.13191658151227317,4,800,COMPLETE
159,29.10910778311457,2026-03-15 12:15:32.577640,2026-03-15 12:15:36.249565,0 days 00:00:03.671925,0.9824143437961377,0.17553569257524437,4,800,COMPLETE
160,29.377522041210717,2026-03-15 12:15:36.249565,2026-03-15 12:15:39.857649,0 days 00:00:03.608084,0.9732052520011439,0.2164224159021855,4,800,COMPLETE
161,31.26418962204478,2026-03-15 12:15:39.859653,2026-03-15 12:15:44.349821,0 days 00:00:04.490168,0.9553736842689168,0.011036628291144759,4,900,COMPLETE
162,29.340367202924597,2026-03-15 12:15:44.351826,2026-03-15 12:15:48.344646,0 days 00:00:03.992820,0.9421485356875692,0.14081354269274277,4,900,COMPLETE
163,29.33258812490743,2026-03-15 12:15:48.344646,2026-03-15 12:15:51.967662,0 days 00:00:03.623016,0.9871809535200347,0.11077472084029553,4,800,COMPLETE
164,29.12050152479508,2026-03-15 12:15:51.967662,2026-03-15 12:15:56.025926,0 days 00:00:04.058264,0.9622151703448772,0.13284600063630525,4,900,COMPLETE
165,29.197712804346974,2026-03-15 12:15:56.025926,2026-03-15 12:16:00.516210,0 days 00:00:04.490284,0.9772727216202934,0.08695862956271064,4,1000,COMPLETE
166,29.88716201870692,2026-03-15 12:16:00.516210,2026-03-15 12:16:05.687706,0 days 00:00:05.171496,0.7723151870521588,0.16207089431374572,5,900,COMPLETE
167,28.839949369791913,2026-03-15 12:16:05.687706,2026-03-15 12:16:10.153438,0 days 00:00:04.465732,0.9518630425655539,0.12554256499018238,4,1000,COMPLETE
168,29.71459421424773,2026-03-15 12:16:10.153438,2026-03-15 12:16:14.581176,0 days 00:00:04.427738,0.9339081861626957,0.12701411026392073,4,1000,COMPLETE
169,29.193568696259728,2026-03-15 12:16:14.581176,2026-03-15 12:16:19.081854,0 days 00:00:04.500678,0.9523856227354777,0.08174397444464926,4,1000,COMPLETE
170,29.030142167710757,2026-03-15 12:16:19.081854,2026-03-15 12:16:22.684931,0 days 00:00:03.603077,0.9724044695987146,0.20153328010199215,4,800,COMPLETE
171,29.381976547259313,2026-03-15 12:16:22.686935,2026-03-15 12:16:26.792209,0 days 00:00:04.105274,0.6689295006191412,0.10561961161151874,4,1000,COMPLETE
172,28.841581314192315,2026-03-15 12:16:26.792209,2026-03-15 12:16:31.279835,0 days 00:00:04.487626,0.9893016190194457,0.11804648385459486,4,1000,COMPLETE
173,28.775379861963806,2026-03-15 12:16:31.281847,2026-03-15 12:16:35.768723,0 days 00:00:04.486876,0.9884472547861257,0.09498047046668828,4,1000,COMPLETE
174,28.879860667621273,2026-03-15 12:16:35.768723,2026-03-15 12:16:40.580608,0 days 00:00:04.811885,0.9871857410643435,0.10301151441261072,4,1000,COMPLETE
175,28.7870474471818,2026-03-15 12:16:40.580608,2026-03-15 12:16:45.086638,0 days 00:00:04.506030,0.9883785277340664,0.10828535391089904,4,1000,COMPLETE
