number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
119,35.48365034061777,2026-04-29 12:16:31.927731,2026-04-29 12:16:34.013036,0 days 00:00:02.085305,41.494703753930054,0.6205447722570447,0.008473555828459076,9,31,983,22,COMPLETE
120,35.817930830442705,2026-04-29 12:16:34.013036,2026-04-29 12:16:35.649648,0 days 00:00:01.636612,7.891517157478811,0.6239591253637178,0.010017135513608659,9,31,974,15,COMPLETE
121,35.389958707787216,2026-04-29 12:16:35.649648,2026-04-29 12:16:37.660337,0 days 00:00:02.010689,41.380960452142695,0.5519311214781916,0.008605197323848603,9,29,956,23,COMPLETE
122,35.54824304450888,2026-04-29 12:16:37.660337,2026-04-29 12:16:39.502171,0 days 00:00:01.841834,43.208274730774576,0.5603571343599626,0.008362803645321219,9,34,957,19,COMPLETE
123,35.40537387420089,2026-04-29 12:16:39.502171,2026-04-29 12:16:41.357919,0 days 00:00:01.855748,35.881939093900534,0.5498694090713478,0.011707569172402644,9,29,902,23,COMPLETE
124,35.6877536186092,2026-04-29 12:16:41.357919,2026-04-29 12:16:43.117352,0 days 00:00:01.759433,46.22076731314812,0.6498322730831049,0.016504038072268044,8,30,897,22,COMPLETE
125,35.64355249080049,2026-04-29 12:16:43.117352,2026-04-29 12:16:45.170132,0 days 00:00:02.052780,35.40199648210661,0.5751885497094821,0.011829232746565393,9,32,945,25,COMPLETE
126,35.6113370988637,2026-04-29 12:16:45.170132,2026-04-29 12:16:46.920021,0 days 00:00:01.749889,41.8232786649714,0.6132735301956321,0.014515974378913969,9,28,976,18,COMPLETE
127,35.66699174736599,2026-04-29 12:16:46.920021,2026-04-29 12:16:48.936456,0 days 00:00:02.016435,46.53215784805737,0.550002862040725,0.009718947100393116,8,41,999,23,COMPLETE
128,35.640400694525354,2026-04-29 12:16:48.936456,2026-04-29 12:16:50.770537,0 days 00:00:01.834081,50.40056436508398,0.694214798119326,0.008863269914295327,9,44,865,21,COMPLETE
129,36.7760027472757,2026-04-29 12:16:50.770537,2026-04-29 12:16:53.626167,0 days 00:00:02.855630,4.140816251609315,0.5624339110237945,0.011358684423166067,9,27,933,53,COMPLETE
130,40.42373151670866,2026-04-29 12:16:53.626167,2026-04-29 12:16:54.892519,0 days 00:00:01.266352,14.533947813351993,0.5901651088784358,0.26267474991921563,8,37,904,15,COMPLETE
131,35.48300461657826,2026-04-29 12:16:54.892519,2026-04-29 12:16:57.088108,0 days 00:00:02.195589,41.38307465822102,0.5787414228337058,0.007792726175349058,9,29,964,25,COMPLETE
132,35.43130086292969,2026-04-29 12:16:57.088108,2026-04-29 12:16:59.160307,0 days 00:00:02.072199,40.54656216352422,0.5819219490077886,0.010006024416842523,9,29,957,24,COMPLETE
133,35.562428768988816,2026-04-29 12:16:59.160307,2026-04-29 12:17:01.147950,0 days 00:00:01.987643,40.41536493489427,0.5797971709564789,0.014016354170968607,9,29,957,24,COMPLETE
134,35.514449395183526,2026-04-29 12:17:01.147950,2026-04-29 12:17:03.376297,0 days 00:00:02.228347,35.28086795194492,0.5435185988468374,0.012111639236492769,9,26,928,31,COMPLETE
135,35.672311774990426,2026-04-29 12:17:03.376297,2026-04-29 12:17:06.280087,0 days 00:00:02.903790,42.54653026886325,0.5703868631896191,0.010148032280329018,9,22,949,47,COMPLETE
136,35.756431285951194,2026-04-29 12:17:06.280087,2026-04-29 12:17:09.083542,0 days 00:00:02.803455,28.0148586519048,0.5999095562205755,0.009013597554203542,9,35,887,50,COMPLETE
137,36.04893474488175,2026-04-29 12:17:09.083542,2026-04-29 12:17:11.063404,0 days 00:00:01.979862,19.035495954104135,0.5515478002022581,0.02048902635335913,9,29,969,26,COMPLETE
138,35.73696738483797,2026-04-29 12:17:11.063404,2026-04-29 12:17:12.220083,0 days 00:00:01.156679,29.763381924293277,0.5869519226531599,0.007779853956241369,4,32,833,21,COMPLETE
139,35.89084667450044,2026-04-29 12:17:12.220594,2026-04-29 12:17:14.290443,0 days 00:00:02.069849,52.242779354122504,0.5597718674972071,0.017073372093867695,8,24,942,29,COMPLETE
