number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
125,35.66153256760212,2026-05-08 15:25:51.071034,2026-05-08 15:25:59.402911,0 days 00:00:08.331877,0.7575417137604312,85.02028958494512,0.0054057429138861185,8,37,1200,COMPLETE
126,35.74305169587912,2026-05-08 15:25:59.402911,2026-05-08 15:26:07.485131,0 days 00:00:08.082220,0.75187118218956,71.56227633562469,0.0054286099659743275,8,37,1200,COMPLETE
127,35.71447159151958,2026-05-08 15:26:07.485131,2026-05-08 15:26:15.611764,0 days 00:00:08.126633,0.7615185355848835,82.52791848810986,0.006391163730226759,8,30,1200,COMPLETE
128,35.735389682413526,2026-05-08 15:26:15.611764,2026-05-08 15:26:23.359838,0 days 00:00:07.748074,0.8177240384915332,81.63511957605307,0.0063981046786299334,8,41,1200,COMPLETE
129,35.81777400702581,2026-05-08 15:26:23.359838,2026-05-08 15:26:31.868176,0 days 00:00:08.508338,0.7593956970580388,79.9168353413818,0.008346395411833392,9,45,1200,COMPLETE
130,35.7956884005646,2026-05-08 15:26:31.871180,2026-05-08 15:26:39.181508,0 days 00:00:07.310328,0.7743599654883346,84.6349824804379,0.0050114774301563665,8,71,1200,COMPLETE
131,35.64400553538031,2026-05-08 15:26:39.181508,2026-05-08 15:26:47.228875,0 days 00:00:08.047367,0.7454531947449713,83.37181047064169,0.005434092534624272,8,30,1100,COMPLETE
132,35.686049840319676,2026-05-08 15:26:47.228875,2026-05-08 15:26:55.047801,0 days 00:00:07.818926,0.761912396022128,75.44774202528832,0.006071089492245018,8,27,1100,COMPLETE
133,35.631863894150314,2026-05-08 15:26:55.047801,2026-05-08 15:27:02.699919,0 days 00:00:07.652118,0.7458501712185777,75.54036153223872,0.005499071952887623,8,27,1000,COMPLETE
134,35.700565538461845,2026-05-08 15:27:02.699919,2026-05-08 15:27:10.553816,0 days 00:00:07.853897,0.7960110452115369,74.55519307802531,0.005438356354199807,8,25,1000,COMPLETE
135,35.72343721834857,2026-05-08 15:27:10.553816,2026-05-08 15:27:18.869617,0 days 00:00:08.315801,0.8017019556386871,75.11703045159759,0.005534720796411206,8,19,1000,COMPLETE
136,35.72350963899829,2026-05-08 15:27:18.869617,2026-05-08 15:27:27.306817,0 days 00:00:08.437200,0.7911136086687904,68.79360812845358,0.0050207991526610325,8,21,1000,COMPLETE
137,35.77720978206201,2026-05-08 15:27:27.306817,2026-05-08 15:27:36.370776,0 days 00:00:09.063959,0.7487249784678998,62.51224874304253,0.007079194589858078,9,27,1100,COMPLETE
138,35.64823450123026,2026-05-08 15:27:36.370776,2026-05-08 15:27:44.080433,0 days 00:00:07.709657,0.7828896231557148,73.69865020817227,0.005744063108040719,8,27,1000,COMPLETE
139,35.643310336122184,2026-05-08 15:27:44.080433,2026-05-08 15:27:51.279094,0 days 00:00:07.198661,0.780385801784046,77.96103345386246,0.006087058995740515,8,27,900,COMPLETE
140,35.86809704721715,2026-05-08 15:27:51.279094,2026-05-08 15:27:57.560167,0 days 00:00:06.281073,0.8316089728157328,78.53774645005964,0.009355360775076711,8,24,900,COMPLETE
141,35.71542308974671,2026-05-08 15:27:57.560167,2026-05-08 15:28:05.262941,0 days 00:00:07.702774,0.7797744756405504,70.15790593164431,0.0059549501611732576,8,29,1000,COMPLETE
142,35.69936492688998,2026-05-08 15:28:05.262941,2026-05-08 15:28:11.683232,0 days 00:00:06.420291,0.7711095029487716,76.0836814330075,0.007626618549733329,8,27,900,COMPLETE
